Mid,T1_last_date,T1_last_time,T1_last_name,T1_last_logo,T1_last_total_main,T1_last_total_vs
370552,2020-04-11,09:05:00,Chicken Fighters,https://ru.dltv.org/storage/app/uploads/public/8ba/49a/6a0/thumb__100_100_0_0_auto.png,2,1
370966,2019-07-04,14:00:00,Anti-MagE-,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370964,2020-04-16,11:10:00,Veni Vidi Vici,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,1,2
370964,2020-04-10,17:50:00,Nova,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370964,2020-04-10,14:20:00,Nova,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2,1
370964,2020-04-08,14:20:00,Khan,https://ru.dltv.org/storage/app/uploads/public/8ab/df6/867/thumb__100_100_0_0_auto.png,2,0
370964,2020-03-30,15:10:00,Khan,https://ru.dltv.org/storage/app/uploads/public/8ab/df6/867/thumb__100_100_0_0_auto.png,0,2
370967,2020-04-16,19:05:00,Cyber TRAKTOR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2,0
370967,2020-04-16,15:00:00,SMARACIS eSports,https://ru.dltv.org/storage/app/uploads/public/8a3/6b4/3c6/thumb__100_100_0_0_auto.png,0,2
370967,2020-04-14,17:25:00,SeregaBulletDog,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370967,2020-04-14,15:15:00,Obscurial,https://ru.dltv.org/storage/app/uploads/public/27f/a55/828/thumb__100_100_0_0_auto.png,2,0
370967,2020-04-13,15:15:00,Cyber TRAKTOR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2,1
370972,2020-04-17,11:00:00,Cyber TRAKTOR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,1,2
370972,2020-04-16,15:05:00,LuckyGaming,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2,1
370972,2020-04-16,15:00:00,Yolo Knight,https://ru.dltv.org/storage/app/uploads/public/492/8fb/77a/thumb__100_100_0_0_auto.png,2,0
370972,2020-04-16,12:50:00,MAGIC HANDS,https://ru.dltv.org/storage/app/uploads/public/747/1b1/92f/thumb__100_100_0_0_auto.png,2,0
370972,2020-04-16,08:20:00,Cascade Esports,https://ru.dltv.org/storage/app/uploads/public/243/c7c/fa0/thumb__100_100_0_0_auto.png,2,1
370967,2020-04-16,19:05:00,Cyber TRAKTOR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2,0
370967,2020-04-16,15:00:00,SMARACIS eSports,https://ru.dltv.org/storage/app/uploads/public/8a3/6b4/3c6/thumb__100_100_0_0_auto.png,0,2
370967,2020-04-14,17:25:00,SeregaBulletDog,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370967,2020-04-14,15:15:00,Obscurial,https://ru.dltv.org/storage/app/uploads/public/27f/a55/828/thumb__100_100_0_0_auto.png,2,0
370967,2020-04-13,15:15:00,Cyber TRAKTOR,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,2,1
370738,2020-04-17,10:05:00,Spag and Sons,https://ru.dltv.org/storage/app/uploads/public/068/599/d2e/thumb__100_100_0_0_auto.png,0,2
370738,2020-04-14,10:10:00,Adió Chula,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370552,2020-04-17,18:15:00,OG,https://ru.dltv.org/storage/app/uploads/public/842/59c/acf/thumb__100_100_0_0_auto.png,0,2
370552,2020-04-16,18:25:00,Team Unique,https://ru.dltv.org/storage/app/uploads/public/482/916/292/thumb__100_100_0_0_auto.png,2,0
370552,2020-04-15,14:35:00,Alliance,https://ru.dltv.org/storage/app/uploads/public/fa7/e27/383/thumb__100_100_0_0_auto.png,2,0
370552,2020-04-13,12:55:00,Team Spirit,https://ru.dltv.org/storage/app/uploads/public/ba5/980/72f/thumb__100_100_0_0_auto.png,2,1
370552,2020-04-11,09:05:00,Chicken Fighters,https://ru.dltv.org/storage/app/uploads/public/8ba/49a/6a0/thumb__100_100_0_0_auto.png,2,1
370976,2020-04-17,15:15:00,SeregaBulletDog,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370976,2020-04-17,13:15:00,Obscurial,https://ru.dltv.org/storage/app/uploads/public/27f/a55/828/thumb__100_100_0_0_auto.png,0,2
370976,2020-04-17,12:00:00,LuckyGaming,https://ru.dltv.org/storage/app/uploads/public/268/288/640/thumb__100_100_0_0_auto.png,0,2
370976,2020-04-17,11:00:00,SMARACIS eSports,https://ru.dltv.org/storage/app/uploads/public/8a3/6b4/3c6/thumb__100_100_0_0_auto.png,2,1
370976,2020-04-16,19:05:00,Yolo Knight,https://ru.dltv.org/storage/app/uploads/public/492/8fb/77a/thumb__100_100_0_0_auto.png,0,2
369234,2020-04-18,04:10:00,Team Adroit,https://ru.dltv.org/storage/app/uploads/public/e1d/eae/cf0/thumb__100_100_0_0_auto.png,2,0
369234,2020-04-17,09:35:00,T1,https://ru.dltv.org/storage/app/uploads/public/0f9/42d/c38/thumb__100_100_0_0_auto.png,0,2
369234,2020-04-16,07:05:00,Fnatic,https://ru.dltv.org/storage/app/uploads/public/c1f/bb4/298/thumb__100_100_0_0_auto.png,0,2
369234,2020-04-12,07:05:00,TNC Predator,https://ru.dltv.org/storage/app/uploads/public/c7b/0ec/91e/thumb__100_100_0_0_auto.png,2,0
369234,2020-04-11,07:05:00,Reality Rift,https://ru.dltv.org/storage/app/uploads/public/9d9/d47/aea/thumb__100_100_0_0_auto.png,0,2
368926,2020-04-17,15:00:00,Terra Incognita,https://ru.dltv.org/storage/app/uploads/public/f2c/5ce/7df/thumb__100_100_0_0_auto.png,2,0
368926,2020-04-16,08:20:00,SMARACIS eSports,https://ru.dltv.org/storage/app/uploads/public/8a3/6b4/3c6/thumb__100_100_0_0_auto.png,1,2
368926,2020-04-14,14:50:00,Team Solid,https://ru.dltv.org/storage/app/uploads/public/5a4/d0b/723/thumb__100_100_0_0_auto.png,2,0
368926,2020-04-14,12:05:00,MAGIC HANDS,https://ru.dltv.org/storage/app/uploads/public/747/1b1/92f/thumb__100_100_0_0_auto.png,2,0
368926,2020-04-13,14:05:00,212,https://ru.dltv.org/storage/app/uploads/public/be2/3ce/2b0/thumb__100_100_0_0_auto.png,2,1
