Mid,Players,Hero_pic,Level_hero,KDA,Hero_items,Hero_gold,LH_DN,GPM_XPM,NW,status,T1score,T2score
371034,Nix,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/ember_spirit_full.png,26,11/0/18,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/lesser_crit_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sphere_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/maelstrom_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/rapier_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/black_king_bar_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/desolator_lg.png']",26548,446/20,626/787,26548.0,Live,0.0,1.0
371034,Miposhka,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/disruptor_full.png,17,0/7/24,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ward_sentry_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/point_booster_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_stick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wind_lace_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/smoke_of_deceit_lg.png']",5627,37/3,226/305,5627.0,Live,0.0,1.0
371034,ksani,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/elder_titan_full.png,23,10/6/16,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cheese_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/echo_sabre_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/platemail_lg.png']",14023,185/32,374/523,14023.0,Live,0.0,1.0
371034,RodjER,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/phoenix_full.png,20,6/7/15,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/veil_of_discord_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/heavens_halberd_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/platemail_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/dust_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png']",11506,153/1,333/411,11506.0,Live,0.0,1.0
371034,funn1k,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/void_spirit_full.png,25,8/2/18,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/cyclone_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/spirit_vessel_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/lotus_orb_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/gem_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",12343,164/5,352/628,12343.0,Live,0.0,1.0
371034,SoNNeikO,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/chen_full.png,17,2/7/13,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/mekansm_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ghost_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/vladmir_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/buckler_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/boots_lg.png']",10086,54/4,258/321,10086.0,Live,0.0,1.0
371034,Supream^,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/meepo_full.png,23,4/8/6,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ethereal_blade_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_orb_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sheepstick_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/wraith_band_lg.png']",19845,406/1,540/517,19845.0,Live,0.0,1.0
371034,Era,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/grimstroke_full.png,21,3/4/13,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/glimmer_cape_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/aether_lens_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/blink_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/sobi_mask_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png']",10469,86/1,317/430,10469.0,Live,0.0,1.0
371034,SabeRLighT-,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/bounty_hunter_full.png,20,4/10/15,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/pipe_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/solar_crest_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/phase_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/heavens_halberd_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/gem_lg.png']",16474,109/6,391/411,16474.0,Live,0.0,1.0
371034,charlie,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/juggernaut_full.png,23,9/6/5,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/power_treads_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/ultimate_scepter_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/assault_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/desolator_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/mask_of_madness_lg.png']",18886,285/10,504/520,18886.0,Live,0.0,1.0
371347,Super,https://steamcdn-a.akamaihd.net/apps/dota2/images/heroes/ancient_apparition_full.png,23,7/8/14,"['https://steamcdn-a.akamaihd.net/apps/dota2/images/items/tranquil_boots_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/glimmer_cape_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/gem_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/magic_wand_lg.png', 'https://steamcdn-a.akamaihd.net/apps/dota2/images/items/force_staff_lg.png']",10874,40/2,306/490,10874.0,Live,1.0,0.0
